,State/UT,Unemployment Rate (UR), 
0,Andhra Pradesh,21,
1,Arunachal Pradesh,21,
2,Assam,47,
3,Bihar,35,
4,Chhattisgarh,15,
5,Delhi,37,
6,Goa,48,
7,Gujarat,5,
8,Haryana,28,
9,Himachal Pradesh,13,
10,Jammu & Kashmir,35,
11,Jharkhand,25,
12,Karnataka,16,
13,Kerala,67,
14,Madhya Pradesh,10,
15,Maharashtra,14,
16,Manipur,36,
17,Meghalaya,7,
18,Mizoram,31,
19,Nagaland,178,
20,Odisha,24,
21,Punjab,22,
22,Rajasthan,12,
23,Sikkim,11,
24,Tamil Nadu,22,
25,Tripura,128,
26,Uttarakhand,32,
27,Uttar Pradesh,15,
28,West Bengal,32,
29,A & N Islands,65,
30,Chandigarh,59,
31,Dadra & Nagar Haveli,0,
32,Daman & Diu,2,
33,Lakshadweep,139,
34,Puducherry,22,
35,all-India,23,
